# source: Onvista EOD-history JSON (DAX INDEX 20735, Xetra, Jahres-Slices range=Y1)
# retrieved: 2026-07-24T16:10:00+00:00
# rows: 5219 (gefiltert >= 2006-01-02)
# K_0: nur Daten, keine Anlageentscheidung [CRUX-MK]
Date,Open,High,Low,Close
2006-01-02,5410.2400,5451.5700,5409.2800,5449.9800
2006-01-03,5451.3400,5496.4600,5440.7400,5460.6800
2006-01-04,5494.4600,5523.6700,5477.6000,5523.6200
2006-01-05,5521.8600,5526.4100,5502.2500,5516.5300
2006-01-06,5521.5200,5537.5800,5507.9200,5536.3200
2006-01-09,5543.3400,5553.5500,5532.8400,5537.1100
2006-01-10,5528.0600,5528.2800,5482.1800,5494.7100
2006-01-11,5524.2000,5537.4800,5515.6700,5532.8900
2006-01-12,5533.2500,5553.4800,5516.2400,5542.1300
2006-01-13,5531.7300,5531.7300,5463.7800,5483.0900
2006-01-16,5464.9800,5515.2600,5462.5400,5514.6400
2006-01-17,5481.8600,5481.8600,5448.8700,5460.1600
2006-01-18,5419.1800,5426.8200,5363.6400,5395.6100
2006-01-19,5411.3400,5438.9100,5410.2900,5430.8400
2006-01-20,5433.6900,5447.3700,5344.5200,5349.0200
2006-01-23,5311.9000,5350.2400,5290.4900,5348.7200
2006-01-24,5350.7700,5369.5800,5321.2700,5334.3000
2006-01-25,5346.3600,5430.0900,5339.0100,5427.0900
2006-01-26,5433.0500,5549.0800,5422.2600,5548.9100
2006-01-27,5586.4800,5650.9500,5585.3700,5647.4200
2006-01-30,5636.2400,5670.3900,5619.0700,5660.0300
2006-01-31,5667.7000,5697.0100,5635.8100,5674.1500
2006-02-01,5662.0500,5733.5600,5643.4000,5726.5300
2006-02-02,5738.5000,5760.6300,5644.1100,5649.6000
2006-02-03,5662.6900,5686.4400,5614.2900,5657.1200
2006-02-06,5667.1800,5702.7600,5649.2800,5666.7800
2006-02-07,5680.0100,5699.3500,5630.1100,5672.9200
2006-02-08,5627.7500,5675.5600,5598.0500,5666.4100
2006-02-09,5694.4600,5743.6800,5694.4600,5743.6800
2006-02-10,5730.0900,5745.4900,5696.0200,5701.4700
2006-02-13,5699.4400,5756.3300,5683.8800,5756.3300
2006-02-14,5759.6600,5786.6900,5717.4400,5763.4000
2006-02-15,5766.6000,5790.2700,5744.9600,5764.3700
2006-02-16,5786.1600,5796.7900,5757.2500,5789.2500
2006-02-17,5784.6400,5812.6900,5773.5200,5795.4800
2006-02-20,5795.6800,5802.7200,5766.9900,5793.9500
2006-02-21,5798.8900,5850.4700,5780.9900,5801.0400
2006-02-22,5793.4600,5862.0600,5783.3500,5862.0600
2006-02-23,5868.1200,5884.2200,5820.3500,5857.8800
2006-02-24,5856.7300,5873.1000,5840.6000,5870.7900
2006-02-27,5888.8100,5915.9300,5871.7500,5915.1500
2006-02-28,5908.5800,5916.8000,5791.9000,5796.0400
2006-03-01,5806.9600,5867.5900,5796.4100,5866.6100
2006-03-02,5862.3600,5885.7300,5749.0600,5783.4900
2006-03-03,5771.3300,5811.4800,5691.2100,5721.4600
2006-03-06,5742.0700,5768.9800,5726.5900,5754.0600
2006-03-07,5732.5400,5750.8500,5698.0600,5739.2800
2006-03-08,5745.3800,5763.2700,5664.1900,5673.3600
2006-03-09,5711.0200,5741.8300,5693.3000,5732.2200
2006-03-10,5715.3000,5804.9500,5708.7900,5804.9200
2006-03-13,5820.7400,5859.9200,5807.6100,5855.1600
2006-03-14,5841.4300,5870.8800,5823.6300,5870.8800
2006-03-15,5885.5000,5905.8300,5869.5100,5898.4800
2006-03-16,5906.3000,5909.5000,5867.3700,5897.7900
2006-03-17,5906.3600,5947.4300,5862.0400,5882.3800
2006-03-20,5895.7800,5932.4600,5884.3300,5902.7900
2006-03-21,5900.8400,5911.8600,5847.9000,5911.8600
2006-03-22,5883.0900,5949.1500,5859.5200,5932.3100
2006-03-23,5941.7800,5960.0200,5922.0300,5947.1100
2006-03-24,5956.3500,5977.0600,5941.2400,5973.1400
2006-03-27,5972.1500,5976.6300,5910.8900,5912.2600
2006-03-28,5914.6500,5940.5900,5863.0700,5890.6300
2006-03-29,5893.2700,5921.1200,5868.2100,5914.7800
2006-03-30,5943.4700,5993.4500,5936.3100,5984.1900
