# source: Yahoo Finance v8 chart JSON (^GDAXI, period1=2006-01-01, interval=1d)
# retrieved: 2026-07-15T16:10:00+00:00
# rows: 5210 (gefiltert >= 2006-01-02)
# K_0: nur Daten, keine Anlageentscheidung [CRUX-MK]
Date,Open,High,Low,Close
2006-01-02,5410.2402,5451.5698,5409.2798,5449.9800
2006-01-03,5451.3398,5496.4600,5440.7402,5460.6802
2006-01-04,5494.4600,5523.6699,5477.6001,5523.6201
2006-01-05,5521.8599,5526.4102,5502.2500,5516.5298
2006-01-06,5521.5200,5537.5801,5507.9199,5536.3198
2006-01-09,5543.3398,5553.5498,5532.8398,5537.1099
2006-01-10,5528.0601,5528.2798,5482.1802,5494.7100
2006-01-11,5524.2002,5537.4800,5515.6699,5532.8901
2006-01-12,5533.2500,5553.4800,5516.2402,5542.1299
2006-01-13,5531.7300,5531.7300,5463.7798,5483.0898
2006-01-16,5464.9800,5515.2598,5462.5400,5514.6401
2006-01-17,5481.8599,5481.8599,5448.8701,5460.1602
2006-01-18,5419.1802,5426.8198,5363.6401,5395.6099
2006-01-19,5411.3398,5438.9102,5410.2900,5430.8398
2006-01-20,5433.6899,5447.3701,5344.5200,5349.0200
2006-01-23,5311.8999,5350.2402,5290.4902,5348.7202
2006-01-24,5350.7700,5369.5801,5321.2700,5334.2998
2006-01-25,5346.3599,5430.0898,5339.0098,5427.0898
2006-01-26,5433.0498,5549.0801,5422.2598,5548.9102
2006-01-27,5586.4800,5650.9502,5585.3701,5647.4199
2006-01-30,5636.2402,5670.3901,5619.0698,5660.0298
2006-01-31,5667.7002,5697.0098,5635.8101,5674.1499
2006-02-01,5662.0498,5733.5601,5643.3999,5726.5298
2006-02-02,5738.5000,5760.6299,5644.1099,5649.6001
2006-02-03,5662.6899,5686.4399,5614.2900,5657.1201
2006-02-06,5667.1802,5702.7598,5649.2798,5666.7798
2006-02-07,5680.0098,5699.3501,5630.1099,5672.9199
2006-02-08,5627.7500,5675.5601,5598.0498,5666.4102
2006-02-09,5694.4600,5743.6802,5694.4600,5743.6802
2006-02-10,5730.0898,5745.4902,5696.0200,5701.4702
2006-02-13,5699.4399,5756.3301,5683.8799,5756.3301
2006-02-14,5759.6602,5786.6899,5717.4399,5763.3999
2006-02-15,5766.6001,5790.2700,5744.9600,5764.3701
2006-02-16,5786.1602,5796.7900,5757.2500,5789.2500
2006-02-17,5784.6401,5814.7900,5773.5200,5795.4800
2006-02-20,5795.6802,5802.7202,5766.9902,5793.9502
2006-02-21,5798.8901,5850.4702,5780.9902,5801.0400
2006-02-22,5793.4600,5862.0601,5783.3501,5862.0601
2006-02-23,5868.1201,5884.2202,5820.3501,5857.8799
2006-02-24,5856.7300,5873.1001,5840.6001,5870.7900
2006-02-27,5888.8101,5915.9302,5871.7500,5915.1499
2006-02-28,5908.5801,5916.7998,5791.8999,5796.0400
2006-03-01,5806.9600,5867.5898,5796.4102,5866.6099
2006-03-02,5862.3599,5885.7300,5749.0601,5783.4902
2006-03-03,5771.3301,5811.4800,5691.2100,5721.4600
2006-03-06,5742.0698,5768.9800,5726.5898,5754.0601
2006-03-07,5732.5400,5750.8501,5698.0601,5739.2798
2006-03-08,5745.3799,5763.2700,5664.1899,5673.3599
2006-03-09,5711.0200,5741.8301,5693.2998,5732.2202
2006-03-10,5715.2998,5804.9502,5708.7900,5804.9199
2006-03-13,5820.7402,5859.9199,5807.6099,5855.1602
2006-03-14,5841.4302,5870.8799,5823.6299,5870.8799
2006-03-15,5885.5000,5905.8301,5869.5098,5898.4800
2006-03-16,5906.2998,5909.5000,5867.3701,5897.7900
2006-03-17,5906.3599,5947.4302,5862.0400,5882.3799
2006-03-20,5895.7798,5932.4600,5884.3301,5902.7900
2006-03-21,5900.8398,5911.8599,5847.8999,5911.8599
2006-03-22,5883.0898,5949.1499,5859.5200,5932.3101
2006-03-23,5941.7798,5960.0200,5922.0298,5947.1099
2006-03-24,5956.3501,5977.0601,5941.2402,5973.1401
2006-03-27,5972.1499,5976.6299,5910.8901,5912.2598
2006-03-28,5914.6499,5940.5898,5863.0698,5890.6299
2006-03-29,5893.2700,5921.1201,5868.2100,5914.7798
2006-03-30,5943.4702,5993.4502,5936.3101,5984.1899
2006-03-31,5972.0298,5993.8999,5942.8799,5970.0801
2006-04-03,5989.0801,6028.1401,5978.4600,6024.0498
2006-04-04,6015.3701,6024.6602,5992.8901,6013.8501
2006-04-05,6013.8901,6035.6699,5995.7700,6029.2002
2006-04-06,6033.6899,6047.9800,6008.5601,6031.3901
2006-04-07,6028.3301,6045.2500,5947.5601,5952.9199
2006-04-10,5951.0801,6004.7100,5943.1201,6003.3999
2006-04-11,6000.1099,6000.7598,5895.0400,5908.4702
2006-04-12,5907.9102,5917.2798,5860.5000,5901.2500
2006-04-13,5909.8198,5925.3999,5873.5801,5918.5698
2006-04-18,5915.1099,5917.8398,5866.8501,5902.5801
2006-04-19,5935.4102,5996.6001,5935.4102,5993.7598
2006-04-20,6000.3198,6089.2998,5996.5000,6063.2798
2006-04-21,6070.8599,6108.6899,6069.3799,6094.7500
2006-04-24,6058.7500,6094.8301,6034.8599,6079.0898
2006-04-25,6084.7998,6111.2998,6051.6099,6078.7998
2006-04-26,6089.8198,6121.9502,6081.9502,6107.1201
2006-04-27,6104.2798,6113.0801,6021.2700,6067.7402
2006-04-28,6061.5000,6061.5000,6003.9102,6009.8901
2006-05-02,6014.3799,6056.2700,6006.8701,6051.2900
2006-05-03,6054.6401,6079.7998,5962.8599,5968.9600
2006-05-04,5980.4902,6040.7002,5968.6802,6039.3198
2006-05-05,6049.2500,6113.2900,6045.8301,6113.2900
2006-05-08,6126.9600,6153.4702,6118.9800,6127.9800
2006-05-09,6128.0098,6142.0200,6100.0400,6140.7202
2006-05-10,6119.1099,6157.9600,6110.4502,6118.3799
2006-05-11,6122.0098,6162.3701,6047.4302,6054.7202
2006-05-12,6028.3901,6043.6499,5915.7402,5916.2798
2006-05-15,5893.0000,5902.4399,5785.1401,5857.0298
2006-05-16,5860.6001,5898.3301,5807.8398,5851.9199
2006-05-17,5873.7202,5897.7700,5652.7202,5652.7202
2006-05-18,5672.3599,5714.6299,5587.9199,5666.0698
2006-05-19,5656.4102,5706.1899,5635.6899,5672.2798
2006-05-22,5653.8501,5653.8501,5513.4302,5546.2402
2006-05-23,5556.8198,5703.3398,5556.8198,5678.4902
2006-05-24,5637.3398,5653.9902,5552.0200,5587.2300
2006-05-25,5601.3198,5706.0601,5568.8301,5706.0601
2006-05-26,5728.9902,5788.4702,5720.5000,5788.3599
2006-05-29,5782.4902,5784.2900,5748.2002,5755.0200
2006-05-30,5749.1602,5758.8198,5593.8901,5622.4302
2006-05-31,5582.6299,5704.1099,5533.1201,5692.8599
2006-06-01,5677.5298,5713.5298,5603.1001,5707.5898
2006-06-02,5733.4199,5778.7798,5676.0400,5687.0400
2006-06-05,5685.5601,5691.6899,5590.2202,5621.1899
2006-06-06,5563.1299,5590.8301,5477.7500,5502.8101
2006-06-07,5510.2900,5572.0898,5471.7598,5543.9302
2006-06-08,5478.7100,5478.7100,5383.2798,5383.2798
2006-06-09,5434.7998,5485.5698,5434.7998,5464.0801
2006-06-12,5458.3799,5470.2300,5375.9902,5395.5498
2006-06-13,5337.6802,5337.6802,5262.2100,5292.1401
2006-06-14,5298.6201,5332.0801,5243.7100,5305.9902
2006-06-15,5330.4800,5438.3301,5330.4800,5422.2202
2006-06-16,5454.3398,5507.6001,5367.1401,5376.0098
2006-06-19,5388.8301,5483.8799,5388.8301,5439.2300
2006-06-20,5408.2500,5493.6099,5382.5801,5493.6099
2006-06-21,5499.0498,5510.1499,5414.6201,5503.4102
2006-06-22,5548.3799,5580.8198,5499.3599,5533.4199
2006-06-23,5536.4302,5559.8701,5499.5498,5529.7402
2006-06-26,5542.7402,5564.6401,5500.9399,5514.6299
2006-06-27,5537.7700,5552.9502,5447.0200,5459.1499
2006-06-28,5442.1699,5490.1899,5420.0801,5456.8701
2006-06-29,5480.3701,5592.5298,5479.9600,5581.6699
2006-06-30,5617.7100,5698.2100,5617.7100,5683.3101
2006-07-03,5688.0000,5712.6899,5675.5000,5712.6899
2006-07-04,5714.6001,5729.5898,5689.0098,5729.0098
2006-07-05,5700.2900,5705.5801,5608.9502,5625.6299
2006-07-06,5635.2700,5702.6499,5635.2700,5695.4702
2006-07-07,5680.1699,5717.8999,5628.1899,5681.8501
2006-07-10,5678.1099,5711.0400,5633.4702,5706.3198
2006-07-11,5678.5498,5684.3999,5593.7998,5616.0400
2006-07-12,5641.0098,5700.0098,5620.4902,5637.8198
2006-07-13,5609.1299,5609.1299,5505.3599,5527.2900
2006-07-14,5502.3501,5504.0698,5422.2202,5422.2202
2006-07-17,5437.0801,5451.2500,5365.0601,5416.9600
2006-07-18,5402.6802,5445.0698,5373.4399,5396.8501
2006-07-19,5415.0498,5543.3799,5401.4102,5539.2900
2006-07-20,5559.6699,5587.2798,5535.0601,5545.8198
2006-07-21,5537.1602,5539.7202,5423.6299,5451.0098
2006-07-24,5460.1201,5582.0601,5460.1201,5578.0498
2006-07-25,5587.0400,5601.6201,5542.3799,5565.7598
2006-07-26,5573.6201,5596.1899,5555.4502,5583.1001
2006-07-27,5615.0801,5667.5498,5597.3501,5659.0698
2006-07-28,5640.9199,5708.3301,5620.9102,5705.4199
2006-07-31,5704.5601,5708.3701,5672.7700,5681.9702
2006-08-01,5678.0098,5693.4902,5583.9600,5596.7402
2006-08-02,5622.7402,5684.4902,5620.7900,5680.8198
2006-08-03,5688.2900,5696.7002,5591.1899,5640.0298
2006-08-04,5656.3799,5741.7998,5654.3198,5723.0298
2006-08-07,5685.4600,5687.7998,5614.2998,5626.6699
2006-08-08,5658.3599,5678.7300,5630.0601,5651.9199
2006-08-09,5663.6899,5709.1001,5612.9502,5702.8101
2006-08-10,5662.7300,5662.7300,5557.5898,5630.9600
2006-08-11,5648.8301,5673.2002,5602.2998,5628.3701
2006-08-14,5661.0698,5701.5898,5659.7100,5692.0000
2006-08-15,5677.3701,5793.0498,5664.8901,5776.7998
2006-08-16,5778.7100,5826.4102,5764.7998,5812.9399
2006-08-17,5819.5098,5835.3501,5803.3398,5833.5098
2006-08-18,5828.3501,5849.3701,5804.2402,5817.0200
2006-08-21,5804.6602,5817.0898,5771.9302,5794.8301
2006-08-22,5816.2100,5831.8599,5755.8901,5818.4102
2006-08-23,5819.2900,5819.2900,5759.5498,5775.5400
2006-08-24,5773.4600,5847.1099,5744.1099,5814.0801
2006-08-25,5814.3398,5834.0698,5783.8901,5811.4702
2006-08-28,5808.3701,5862.3301,5767.8301,5854.9902
2006-08-29,5854.5000,5880.4800,5837.3799,5847.0200
2006-08-30,5863.3101,5884.5098,5852.1899,5867.5298
2006-08-31,5880.5801,5886.7798,5841.0000,5859.5698
2006-09-01,5861.2500,5907.1602,5856.4902,5876.5400
2006-09-04,5890.0098,5917.2402,5890.0098,5909.7202
2006-09-05,5904.4199,5907.4902,5857.3799,5884.0698
2006-09-06,5883.4399,5883.8901,5799.6899,5813.0601
2006-09-07,5792.6401,5792.6401,5753.6699,5773.7202
2006-09-08,5782.6299,5811.5898,5773.5400,5795.2598
2006-09-11,5774.3101,5800.7100,5737.2002,5798.4600
2006-09-12,5803.7998,5878.8301,5775.0298,5873.8501
2006-09-13,5888.4702,5906.9800,5874.4502,5906.1201
2006-09-14,5913.4702,5935.0400,5888.7402,5907.3701
2006-09-15,5911.8901,5953.7202,5907.4600,5937.8701
2006-09-18,5932.5098,5950.3599,5896.6499,5926.3301
2006-09-19,5918.9702,5930.1401,5869.5698,5873.4600
2006-09-20,5877.0801,5962.1401,5872.3101,5954.3799
2006-09-21,5949.0601,5979.8701,5936.0000,5962.0298
2006-09-22,5930.1099,5930.2998,5857.8901,5883.3198
2006-09-25,5898.8999,5935.0200,5864.9902,5901.6602
2006-09-26,5936.4502,5977.9199,5926.5498,5960.6299
2006-09-27,5981.1899,6003.5098,5956.0298,5989.7100
2006-09-28,5984.6201,6002.9399,5973.5000,5989.1602
2006-09-29,5998.3999,6031.5498,5992.4199,6004.3301
2006-10-02,6019.3398,6031.8599,5964.7402,5999.4600
2006-10-03,5986.7402,5992.2202,5944.5698,5992.2202
2006-10-04,5996.2402,6050.2798,5995.4102,6046.3701
2006-10-05,6065.4600,6097.8701,6065.4600,6075.2798
2006-10-06,6066.6899,6088.4399,6052.9902,6085.8198
